App,Category,Rating,Reviews,Size,Install,Type,Price,Content_Rating,Genres,Last_Updated,Android_Version
Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6,10000,Free,0,Everyone,Art & Design,04/25/18,3.0 and up
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25,500000,Free,0,Everyone,Art & Design,10/11/17,4.0.3 and up
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0,Everyone,Art & Design,03/21/18,4.0.3 and up
Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0,Everyone,Art & Design,07/12/18,2.3 and up
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0,Everyone,Art & Design,08/22/17,2.3 and up
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0,Everyone,Art & Design,07/12/18,4.0.3 and up
Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0,Everyone,Art & Design,05/31/18,2.3 and up
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11,100000,Free,0,Everyone,Art & Design,07/19/18,4.0 and up
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11,100000,Free,0,Everyone,Art & Design,01/06/18,4.1 and up
I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0,Teen,Art & Design,04/27/18,4.1 and up
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0,Everyone,Art & Design,07/11/18,4.1 and up
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24,500000,Free,0,Everyone,Art & Design,08/02/18,4.1 and up
Floor Plan Creator,ART_AND_DESIGN,4.1,36639,Varies with device,5000000,Free,0,Everyone,Art & Design,07/14/18,2.3.3 and up
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11,10000,Free,0,Everyone,Art & Design,11/29/17,4.0.3 and up
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9.4,500000,Free,0,Everyone,Art & Design,03/31/18,4.0 and up
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15,10000,Free,0,Everyone,Art & Design,07/20/18,4.0.3 and up
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10,100000,Free,0,Everyone,Art & Design,04/02/18,4.0.3 and up
Textgram - write on photos,ART_AND_DESIGN,4.4,295221,Varies with device,10000000,Free,0,Everyone,Art & Design,07/30/18,Varies with device
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0,Everyone,Art & Design,04/15/18,4.1 and up
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12,10000,Free,0,Everyone,Art & Design,01/03/18,4.1 and up
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24,10000000,Free,0,Everyone,Art & Design,07/31/18,4.1 and up
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26,100000,Free,0,Everyone,Art & Design,11/14/17,4.1 and up
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8,100000,Free,0,Everyone,Art & Design,12/17/17,4.1 and up
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0,Everyone,Art & Design,05/28/18,2.3 and up
Messenger – Text and Video Chat for Free,COMMUNICATION,4,56642847,Varies with device,1000000000,Free,0,Everyone,Communication,08/01/18,4.0.3 and up
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,1000000000,Free,0,Everyone,Communication,08/03/18,4.1 and up
Messenger for SMS,COMMUNICATION,4.3,125257,17,10000000,Free,0,Teen,Communication,06/06/18,4.1 and up
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9642995,Varies with device,1000000000,Free,0,Everyone,Communication,08/01/18,Varies with device
Messenger Lite: Free Calls & Messages,COMMUNICATION,4.4,1429035,Varies with device,100000000,Free,0,Everyone,Communication,07/25/18,4.1 and up
Gmail,COMMUNICATION,4.3,4604324,Varies with device,1000000000,Free,0,Everyone,Communication,08/02/18,4.1 and up
Hangouts,COMMUNICATION,4,3419249,Varies with device,1000000000,Free,0,Everyone,Communication,07/21/18,4.0 and up
Viber Messenger,COMMUNICATION,4.3,11334799,Varies with device,500000000,Free,0,Everyone,Communication,07/18/18,4.4 and up
My Tele2,COMMUNICATION,4.3,158679,8.8,5000000,Free,0,Everyone,Communication,08/03/18,4.1 and up
Firefox Browser fast & private,COMMUNICATION,4.4,3075028,Varies with device,100000000,Free,0,Everyone,Communication,07/10/18,2.2 and up
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4187998,16,100000000,Free,0,Everyone,Communication,07/18/18,4.4 and up
imo beta free calls and text,COMMUNICATION,4.3,659395,11,100000000,Free,0,Everyone,Communication,06/07/18,4.0.3 and up
imo free video calls and chat,COMMUNICATION,4.3,4785892,11,500000000,Free,0,Everyone,Communication,06/08/18,4.2 and up
Contacts,COMMUNICATION,4.3,66602,Varies with device,50000000,Free,0,Everyone,Communication,06/26/18,4.1 and up
Call Free – Free Call,COMMUNICATION,4.3,30209,15,5000000,Free,0,Everyone,Communication,07/28/18,4.0 and up
Web Browser & Explorer,COMMUNICATION,4,36901,6.6,5000000,Free,0,Everyone,Communication,07/04/18,4.2 and up
Opera Mini - fast web browser,COMMUNICATION,4.5,5149854,Varies with device,100000000,Free,0,Everyone,Communication,07/19/18,4.4 and up
Browser 4G,COMMUNICATION,4.3,192948,6.6,10000000,Free,0,Everyone,Communication,06/19/18,2.3 and up
MegaFon Dashboard,COMMUNICATION,3.7,99559,Varies with device,10000000,Free,0,Everyone,Communication,07/30/18,Varies with device
ZenUI Dialer & Contacts,COMMUNICATION,4.5,437674,Varies with device,10000000,Free,0,Everyone,Communication,08/01/18,Varies with device
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1,10000000,Free,0,Everyone,Communication,07/02/18,4.0.3 and up
Opera Browser: Fast and Secure,COMMUNICATION,4.4,2473509,Varies with device,100000000,Free,0,Everyone,Communication,07/31/18,4.0.3 and up
TracFone My Account,COMMUNICATION,3.6,20769,18,1000000,Free,0,Everyone,Communication,07/11/18,4.2 and up
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4,1000000,Free,0,Everyone,Communication,07/06/18,5.0 and up
Google Voice,COMMUNICATION,4.2,171031,Varies with device,10000000,Free,0,Everyone,Communication,08/03/18,2.3.3 and up
Chrome Dev,COMMUNICATION,4.4,63543,Varies with device,5000000,Free,0,Everyone,Communication,08/02/18,4.0 and up
Xperia Link™,COMMUNICATION,4.1,45487,Varies with device,10000000,Free,0,Everyone,Communication,10/27/16,4.0 and up
TouchPal Keyboard - Fun Emoji & Android Keyboard,COMMUNICATION,4.4,615381,37,10000000,Free,0,Mature 17+,Communication,08/02/18,4.1 and up
Who,COMMUNICATION,4.3,2451083,Varies with device,100000000,Free,0,Teen,Communication,08/03/18,4.0 and up
Skype Lite - Free Video Call & Chat,COMMUNICATION,4.2,33053,22,5000000,Free,0,Everyone,Communication,07/31/18,4.1 and up
WeChat,COMMUNICATION,4.2,5387333,Varies with device,100000000,Free,0,Everyone,Communication,07/31/18,4.1 and up
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648120,3.3,100000000,Free,0,Teen,Communication,07/18/18,6.0 and up
WhatsApp Business,COMMUNICATION,4.4,136662,32,10000000,Free,0,Everyone,Communication,07/30/18,4.2 and up
My magenta,COMMUNICATION,3.9,42370,37,1000000,Free,0,Everyone,Communication,06/25/18,5.0 and up
Android Messages,COMMUNICATION,4.2,781810,Varies with device,100000000,Free,0,Everyone,Communication,08/01/18,4.0.3 and up
Telegram,COMMUNICATION,4.4,3128250,Varies with device,100000000,Free,0,Mature 17+,Communication,07/27/18,4.4 and up
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,Varies with device,500000000,Free,0,Everyone,Communication,07/31/18,Varies with device
Puffin Web Browser,COMMUNICATION,4.3,541389,Varies with device,10000000,Free,0,Everyone,Communication,07/09/18,2.3 and up
Seznam.cz,COMMUNICATION,4.3,46702,Varies with device,1000000,Free,0,Everyone,Communication,07/04/18,4.0.3 and up
Antillean Gold Telegram (original version),COMMUNICATION,4.4,2939,17,100000,Free,0,Everyone,Communication,07/16/18,Varies with device
AT&T Visual Voicemail,COMMUNICATION,3.7,13761,Varies with device,10000000,Free,0,Everyone,Communication,06/27/18,Varies with device
GMX Mail,COMMUNICATION,4.3,258556,Varies with device,10000000,Free,0,Everyone,Communication,07/25/18,4.1 and up
Omlet Chat,COMMUNICATION,3.9,40751,35,10000000,Free,0,Teen,Communication,11/04/16,4.0.3 and up
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17712922,40,500000000,Free,0,Teen,Communication,08/02/18,4.0.3 and up
My Vodacom SA,COMMUNICATION,3.7,25021,61,5000000,Free,0,Everyone,Communication,06/26/18,4.0.3 and up
Microsoft Edge,COMMUNICATION,4.3,27187,66,5000000,Free,0,Everyone,Communication,07/28/18,4.0.3 and up
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,1000000000,Free,0,Everyone,Communication,08/03/18,4.0 and up
Messenger – Text and Video Chat for Free,COMMUNICATION,4,56646578,Varies with device,1000000000,Free,0,Everyone,Communication,08/01/18,4.0.3 and up
imo free video calls and chat,COMMUNICATION,4.3,4785988,11,500000000,Free,0,Everyone,Communication,06/08/18,4.0 and up
Hangouts Dialer - Call Phones,COMMUNICATION,4,122498,79k,10000000,Free,0,Everyone,Communication,09/02/15,5.0 and up
Viber Messenger,COMMUNICATION,4.3,11334973,Varies with device,500000000,Free,0,Everyone,Communication,07/18/18,4.1 and up
Hangouts,COMMUNICATION,4,3419433,Varies with device,1000000000,Free,0,Everyone,Communication,07/21/18,4.1 and up
"Talkatone: Free Texts, Calls & Phone Number",COMMUNICATION,4.1,132014,25,10000000,Free,0,Everyone,Communication,07/18/18,4.0.3 and up
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14,5000000,Free,0,Everyone,Communication,04/19/18,Varies with device
free video calls and chat,COMMUNICATION,4.2,594728,Varies with device,50000000,Free,0,Everyone,Communication,07/19/18,4.1 and up
WeChat,COMMUNICATION,4.2,5387446,Varies with device,100000000,Free,0,Everyone,Communication,07/31/18,4.0.3 and up
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,Varies with device,1000000000,Free,0,Everyone,Communication,08/03/18,4.0 and up
Telegram,COMMUNICATION,4.4,3128509,Varies with device,100000000,Free,0,Mature 17+,Communication,07/27/18,4.2 and up
Who,COMMUNICATION,4.3,2451093,Varies with device,100000000,Free,0,Teen,Communication,08/03/18,5.0 and up
Google Voice,COMMUNICATION,4.2,171031,Varies with device,10000000,Free,0,Everyone,Communication,08/03/18,4.0.3 and up
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24,100000000,Free,0,Everyone,Communication,08/01/18,Varies with device
Android Messages,COMMUNICATION,4.2,781810,Varies with device,100000000,Free,0,Everyone,Communication,08/01/18,4.0 and up
"Messaging+ SMS, MMS Free",COMMUNICATION,4.1,28238,17,1000000,Free,0,Everyone,Communication,08/02/18,4.0 and up
chomp SMS,COMMUNICATION,4.3,335646,8.3,10000000,Free,0,Everyone,Communication,07/26/18,4.0.3 and up
Glide - Video Chat Messenger,COMMUNICATION,4.3,350154,Varies with device,10000000,Free,0,Everyone,Communication,07/29/18,3.0 and up
Text SMS,COMMUNICATION,4.5,349384,8.2,10000000,Free,0,Everyone,Communication,07/24/18,4.0.3 and up
Google Allo,COMMUNICATION,4.3,346982,Varies with device,10000000,Free,0,Everyone,Communication,01/23/18,4.0.3 and up
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,Varies with device,10000000,Free,0,Everyone,Communication,05/29/18,4.0.3 and up
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790289,Varies with device,500000000,Free,0,Everyone,Communication,07/26/18,Varies with device
GroupMe,COMMUNICATION,4.5,330761,Varies with device,10000000,Free,0,Everyone,Communication,07/03/18,4.0 and up
mysms SMS Text Messaging Sync,COMMUNICATION,4.3,37320,8.4,1000000,Free,0,Everyone,Communication,07/30/18,4.0 and up
BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860,Varies with device,100000000,Free,0,Everyone,Communication,08/02/18,4.0.3 and up
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527,Varies with device,100000000,Free,0,Everyone,Communication,08/03/18,4.0 and up
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4,1000000,Free,0,Everyone,Communication,07/06/18,5.0 and up
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32,1000000,Free,0,Everyone,Communication,08/03/18,4.1 and up
Google Allo,COMMUNICATION,4.3,346980,Varies with device,10000000,Free,0,Everyone,Communication,01/23/18,4.0.3 and up
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9643041,Varies with device,1000000000,Free,0,Everyone,Communication,08/01/18,4.0 and up
Firefox Browser fast & private,COMMUNICATION,4.4,3075118,Varies with device,100000000,Free,0,Everyone,Communication,07/10/18,4.1 and up
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,6.1,50000000,Free,0,Everyone,Communication,07/31/18,4.1 and up
Puffin Web Browser,COMMUNICATION,4.3,541389,Varies with device,10000000,Free,0,Everyone,Communication,07/09/18,4.0 and up
Opera Browser: Fast and Secure,COMMUNICATION,4.4,2473693,Varies with device,100000000,Free,0,Everyone,Communication,07/31/18,2.3 and up
Ninesky Browser,COMMUNICATION,4.2,42925,2.8,1000000,Free,0,Everyone,Communication,08/27/17,3.0 and up
Opera Mini - fast web browser,COMMUNICATION,4.5,5150471,Varies with device,100000000,Free,0,Everyone,Communication,07/19/18,4.0.3 and up
"Dolphin Browser - Fast, Private & Adblock🐬",COMMUNICATION,4.5,2511130,Varies with device,50000000,Free,0,Everyone,Communication,07/02/18,4.0.3 and up
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648480,3.3,100000000,Free,0,Teen,Communication,07/18/18,1.6 and up
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17714850,40,500000000,Free,0,Teen,Communication,08/02/18,3.0 and up
Ghostery Privacy Browser,COMMUNICATION,4.1,13100,2.2,1000000,Free,0,Everyone,Communication,03/20/18,4.0.3 and up
InBrowser - Incognito Browsing,COMMUNICATION,4.2,27156,Varies with device,1000000,Free,0,Everyone,Communication,05/31/18,4.0 and up
Web Browser for Android,COMMUNICATION,4.1,55098,4.3,1000000,Free,0,Everyone,Communication,06/20/18,4.0.3 and up
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501,4.7,10000000,Free,0,Everyone,Communication,04/01/16,4.0.3 and up
Lightning Web Browser,COMMUNICATION,4.1,12578,2.3,500000,Free,0,Everyone,Communication,07/10/17,Varies with device
Web Browser,COMMUNICATION,4.2,10965,2.3,500000,Free,0,Everyone,Communication,02/02/15,4.4 and up
Puffin Browser Pro,COMMUNICATION,4,18247,Varies with device,100000,Paid,3.99,Everyone,Communication,07/05/18,4.0 and up
Contacts+,COMMUNICATION,4.2,190613,11,10000000,Free,0,Everyone,Communication,07/31/18,Varies with device
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7,10000000,Free,0,Everyone,Communication,03/05/17,Varies with device
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14,5000000,Free,0,Everyone,Communication,04/19/18,1.5 and up
Viber Messenger,COMMUNICATION,4.3,11334973,Varies with device,500000000,Free,0,Everyone,Communication,07/18/18,Varies with device
PHONE for Google Voice & GTalk,COMMUNICATION,4.3,72065,13,1000000,Free,0,Everyone,Communication,04/18/18,Varies with device
Safest Call Blocker,COMMUNICATION,4.4,27540,3.7,1000000,Free,0,Everyone,Communication,01/05/18,4.1 and up
Full Screen Caller ID,COMMUNICATION,4.2,104990,10,5000000,Free,0,Everyone,Communication,05/15/18,4.0 and up
Hiya - Caller ID & Block,COMMUNICATION,4.4,177703,13,10000000,Free,0,Mature 17+,Communication,07/25/18,Varies with device
Call Blocker,COMMUNICATION,4.1,17529,10,1000000,Free,0,Everyone,Communication,07/26/18,4.0 and up
Mr. Number-Block calls & spam,COMMUNICATION,4.2,177263,13,10000000,Free,0,Mature 17+,Communication,07/13/18,4.0.3 and up
Should I Answer?,COMMUNICATION,4.8,237468,8.8,1000000,Free,0,Everyone,Communication,07/26/18,Varies with device
RocketDial Dialer & Contacts,COMMUNICATION,4.4,32254,5.5,1000000,Free,0,Everyone,Communication,12/04/17,2.3 and up
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20,10000000,Free,0,Everyone,Communication,07/29/18,4.0.3 and up
Whoscall - Caller ID & Block,COMMUNICATION,4.4,552441,29,10000000,Free,0,Everyone,Communication,08/01/18,4.1 and up
CIA - Caller ID & Call Blocker,COMMUNICATION,4,60308,Varies with device,5000000,Free,0,Everyone,Communication,06/22/18,4.0.3 and up
Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283,Varies with device,10000000,Free,0,Everyone,Communication,05/24/18,Varies with device
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11,5000000,Free,0,Everyone,Communication,07/05/18,4.1 and up
True Contact - Real Caller ID,COMMUNICATION,4.1,32283,Varies with device,1000000,Free,0,Everyone,Communication,07/26/18,4.1 and up
Video Caller Id,COMMUNICATION,4.2,15287,17,1000000,Free,0,Everyone,Communication,01/24/18,2.3 and up
Sync.ME – Caller ID & Block,COMMUNICATION,4.5,205739,17,5000000,Free,0,Everyone,Communication,07/26/18,4.1 and up
Burner - Free Phone Number,COMMUNICATION,4.3,14873,Varies with device,1000000,Free,0,Everyone,Communication,07/12/18,Varies with device
"Truecaller: Caller ID, SMS spam blocking & Dialer",COMMUNICATION,4.5,7820209,Varies with device,100000000,Free,0,Everyone,Communication,08/01/18,2.3 and up
Caller ID +,COMMUNICATION,4,9498,118k,1000000,Free,0,Everyone,Communication,06/07/16,4.0 and up
Gmail,COMMUNICATION,4.3,4604483,Varies with device,1000000000,Free,0,Everyone,Communication,08/02/18,4.0 and up
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4188142,16,100000000,Free,0,Everyone,Communication,07/18/18,4.1 and up
K-9 Mail,COMMUNICATION,4.2,88427,5.1,5000000,Free,0,Everyone,Communication,01/06/18,4.0.3 and up
"myMail – Email for Hotmail, Gmail and Outlook Mail",COMMUNICATION,4.5,305218,Varies with device,10000000,Free,0,Everyone,Communication,08/03/18,3.0 and up
Email TypeApp - Mail App,COMMUNICATION,4.6,183374,44,1000000,Free,0,Everyone,Communication,08/01/18,4.0.3 and up
All Email Providers,COMMUNICATION,4.1,20901,7.3,1000000,Free,0,Everyone,Communication,04/03/18,2.1 and up
"Newton Mail - Email App for Gmail, Outlook, IMAP",COMMUNICATION,4,122595,30,1000000,Free,0,Everyone,Communication,07/19/18,4.4 and up
GO Notifier,COMMUNICATION,4.2,124346,695k,10000000,Free,0,Everyone,Communication,07/06/14,Varies with device
Mail.Ru - Email App,COMMUNICATION,4.6,837842,Varies with device,50000000,Free,0,Everyone,Communication,08/03/18,7.0 and up
Mail1Click - Secure Mail,COMMUNICATION,4.1,255,1.6,10000,Free,0,Everyone,Communication,04/11/17,4.0 and up
Daum Mail - Next Mail,COMMUNICATION,4.3,41420,19,5000000,Free,0,Everyone,Communication,06/21/18,4.0.3 and up
mail.com mail,COMMUNICATION,4.2,44706,Varies with device,1000000,Free,0,Everyone,Communication,07/25/18,4.0.3 and up
SolMail - All-in-One email app,COMMUNICATION,4.3,23707,Varies with device,500000,Free,0,Everyone,Communication,08/09/17,3.0 and up
Hangouts,COMMUNICATION,4,3419513,Varies with device,1000000000,Free,0,Everyone,Communication,07/21/18,3.0 and up
imo free video calls and chat,COMMUNICATION,4.3,4785988,11,500000000,Free,0,Everyone,Communication,06/08/18,Varies with device
free video calls and chat,COMMUNICATION,4.2,594728,Varies with device,50000000,Free,0,Everyone,Communication,07/19/18,6.0 and up
Viber Messenger,COMMUNICATION,4.3,11335255,Varies with device,500000000,Free,0,Everyone,Communication,07/18/18,4.0 and up
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,Varies with device,1000000000,Free,0,Everyone,Communication,08/03/18,4.2 and up
WeChat,COMMUNICATION,4.2,5387446,Varies with device,100000000,Free,0,Everyone,Communication,07/31/18,4.0.3 and up
Vonage Mobile® Call Video Text,COMMUNICATION,4.1,29208,23,1000000,Free,0,Everyone,Communication,09/28/16,2.2 and up
JusTalk - Free Video Calls and Fun Video Chat,COMMUNICATION,4.6,191032,26,5000000,Free,0,Everyone,Communication,08/04/18,5.1 and up
Glide - Video Chat Messenger,COMMUNICATION,4.3,350154,Varies with device,10000000,Free,0,Everyone,Communication,07/29/18,4.2 and up
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,Varies with device,10000000,Free,0,Everyone,Communication,05/29/18,Varies with device
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790289,Varies with device,500000000,Free,0,Everyone,Communication,07/26/18,Varies with device
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527,Varies with device,100000000,Free,0,Everyone,Communication,08/03/18,Varies with device
Duolingo: Learn Languages Free,EDUCATION,4.7,6289924,Varies with device,100000000,Free,0,Everyone,Education,08/01/18,5.0 and up
TED,EDUCATION,4.6,181893,18,10000000,Free,0,Everyone 10+,Education,07/27/18,Varies with device
English Communication - Learn English for Chinese (Learn English for Chinese),EDUCATION,4.7,2544,18,100000,Free,0,Everyone,Education,12/29/17,Varies with device
Khan Academy,EDUCATION,4.6,85375,21,5000000,Free,0,Everyone,Education,07/27/18,4.4 and up
Learn English with Wlingua,EDUCATION,4.7,314299,3.3,10000000,Free,0,Everyone,Education,05/02/18,4.1 and up
Ai La Trieu Phu - ALTP Free,EDUCATION,NaN,776,24,100000,Free,0,Everyone,Education,07/23/18,4.0.3 and up
Princess Coloring Book,EDUCATION,4.5,9770,39,5000000,Free,0,Everyone,Education,02/25/18,5.0 and up
Learn Spanish - Español,EDUCATION,4.7,32346,3.2,1000000,Free,0,Everyone,Education,12/18/17,4.1 and up
English Grammar Test,EDUCATION,4.8,4075,5.1,500000,Free,0,Everyone,Education,06/22/18,4.1 and up
Speed Reading,EDUCATION,4.6,10611,11,500000,Free,0,Everyone,Education,05/27/18,4.0.3 and up
English for beginners,EDUCATION,4.6,9321,27,1000000,Free,0,Everyone,Education,07/18/18,1.5 and up
Flame - درب عقلك يوميا,EDUCATION,4.6,56065,37,1000000,Free,0,Everyone,Education,07/26/18,Varies with device
Mermaids,EDUCATION,4.2,14286,Varies with device,5000000,Free,0,Everyone,Education,04/26/18,Varies with device
"Learn Japanese, Korean, Chinese Offline & Free",EDUCATION,4.9,133136,26,1000000,Free,0,Everyone,Education,07/20/18,4.3 and up
Kids Mode,EDUCATION,3.8,2469,11,500000,Free,0,Everyone,Education,03/23/18,Varies with device
PBS KIDS Video,EDUCATION,4.2,36212,Varies with device,5000000,Free,0,Everyone,Education,,4.1 and up
Dinosaurs Coloring Pages,EDUCATION,4.4,390,41,500000,Free,0,Everyone,Education,02/03/18,4.0 and up
Cars Coloring Pages,EDUCATION,4.4,1090,49,1000000,Free,0,Everyone,Education,02/03/18,Varies with device
Babbel – Learn Languages,EDUCATION,4.3,266948,21,10000000,Free,0,Everyone,Education,07/30/18,Varies with device
Math Tricks,EDUCATION,4.5,342918,8.1,10000000,Free,0,Everyone,Education,07/29/18,2.2 and up
Monster Truck Driver & Racing,EDUCATION,4.4,748,51,1000000,Free,0,Everyone,Education,01/19/17,4.1 and up
Learn English Words Free,EDUCATION,4.6,172640,14,5000000,Free,0,Everyone,Education,05/02/18,Varies with device
Japanese / English one-shop search dictionary - Free Japanese - English - Japanese dictionary application,EDUCATION,3.9,61,18,50000,Free,0,Mature 17+,Education,05/28/18,4.1 and up
English speaking texts,EDUCATION,4.4,1619,3,1000000,Free,0,Everyone,Education,07/20/18,4.0 and up
